INFO:MyNBA:Downloading players...
INFO:MyNBA:Downloading players...
INFO:PlayerApi:Kendrick Perkins saved.
INFO:PlayerApi:London Perrantes saved.
INFO:PlayerApi:Alec Peters saved.
INFO:PlayerApi:Marshall Plumlee saved.
INFO:PlayerApi:Mason Plumlee saved.
INFO:PlayerApi:Miles Plumlee saved.
INFO:PlayerApi:Jakob Poeltl saved.
INFO:PlayerApi:Quincy Pondexter saved.
INFO:PlayerApi:Otto Porter Jr. saved.
INFO:PlayerApi:Bobby Portis saved.
INFO:PlayerApi:Kristaps Porzingis saved.
INFO:PlayerApi:Dwight Powell saved.
INFO:PlayerApi:Norman Powell saved.
INFO:PlayerApi:Alex Poythress saved.
INFO:PlayerApi:Taurean Prince saved.
INFO:PlayerApi:Jacob Pullen saved.
INFO:PlayerApi:Rodney Purvis saved.
INFO:PlayerApi:Zhou Qi saved.
INFO:PlayerApi:Tim Quarterman saved.
INFO:PlayerApi:Ivan Rabb saved.
INFO:PlayerApi:Julius Randle saved.
INFO:PlayerApi:Zach Randolph saved.
INFO:PlayerApi:Xavier Rathan-Mayes saved.
INFO:PlayerApi:JJ Redick saved.
INFO:PlayerApi:Davon Reed saved.
INFO:PlayerApi:Willie Reed saved.
INFO:PlayerApi:Josh Richardson saved.
INFO:PlayerApi:Malachi Richardson saved.
INFO:PlayerApi:Austin Rivers saved.
INFO:PlayerApi:Andre Roberson saved.
INFO:PlayerApi:Devin Robinson saved.
INFO:PlayerApi:Glenn Robinson III saved.
INFO:PlayerApi:Rajon Rondo saved.
INFO:PlayerApi:Derrick Rose saved.
INFO:PlayerApi:Terrence Ross saved.
INFO:PlayerApi:Terry Rozier saved.
INFO:PlayerApi:Ricky Rubio saved.
INFO:PlayerApi:D'Angelo Russell saved.
INFO:PlayerApi:Domantas Sabonis saved.
INFO:PlayerApi:JaKarr Sampson saved.
INFO:PlayerApi:Dario Saric saved.
INFO:PlayerApi:Tomas Satoransky saved.
INFO:PlayerApi:Dennis Schroder saved.
INFO:PlayerApi:Mike Scott saved.
INFO:PlayerApi:Thabo Sefolosha saved.
INFO:PlayerApi:Wayne Selden saved.
INFO:PlayerApi:Ramon Sessions saved.
INFO:PlayerApi:Iman Shumpert saved.
INFO:PlayerApi:Pascal Siakam saved.
INFO:PlayerApi:Xavier Silas saved.
INFO:PlayerApi:Ben Simmons saved.
INFO:PlayerApi:Jonathon Simmons saved.
INFO:PlayerApi:Kobi Simmons saved.
INFO:PlayerApi:Kyle Singler saved.
INFO:PlayerApi:Marcus Smart saved.
INFO:PlayerApi:Ish Smith saved.
INFO:PlayerApi:JR Smith saved.
INFO:PlayerApi:Jason Smith saved.
INFO:PlayerApi:Josh Smith saved.
INFO:PlayerApi:Dennis Smith Jr. saved.
